date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:34	274/274	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Dec%202021%2010:46:34%20GMT	https://jthemes.net/robots.txt		(from )
16:16:34	44699/44699	---M-Z	200	added ('OK')	text/html	etag:%22ae9b-546ef8f02b280-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/index.html	(from )
16:16:35	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-546ef97f38400-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/assets/plugins/bootstrap-3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/plugins/bootstrap-3.3.6/css/bootstrap.min.css	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:35	6065/6065	---M-Z	200	added ('OK')	text/css	etag:%2217b1-546ef9ea08000-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/assets/plugins/bootstrap-select-1.10.0/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/plugins/bootstrap-select-1.10.0/dist/css/bootstrap-select.min.css	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:35	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%227057-546ef99fa5080-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/assets/plugins/font-awesome-4.6.1/css/font-awesome.min.css	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/plugins/font-awesome-4.6.1/css/font-awesome.min.css	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:35	26396/26396	---M-Z	200	added ('OK')	text/css	etag:%22671c-546ef91fda300-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/assets/plugins/font-elegant/elegant.css	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/plugins/font-elegant/elegant.css	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:36	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-546ef9de96500-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/assets/plugins/owl.carousel.2/assets/owl.carousel.css	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/plugins/owl.carousel.2/assets/owl.carousel.css	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:36	72259/72259	---M-Z	200	added ('OK')	text/css	etag:%2211a43-546ef90cc7600-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/assets/css/animate.css	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/css/animate.css	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:36	61106/61106	---M-Z	200	added ('OK')	text/css	etag:%22eeb2-546ef90adf180-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/assets/css/theme.css	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/css/theme.css	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:37	3462/3462	---M--	200	added ('OK')	image/png	etag:%22d86-5360b403f8c80%22	https://jthemes.net/themes/f-html/GO-Courier/assets/img/logo/logo-black.png	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/img/logo/logo-black.png	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:37	44699/44699	---M-Z	200	added ('OK')	text/html	etag:%22ae9b-546ef8f02b280-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/index.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/index-2.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:37	43870/43870	---M-Z	200	added ('OK')	text/html	etag:%22ab5e-546ef8df00a00-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/index-2.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/index-3.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:37	44724/44724	---M-Z	200	added ('OK')	text/html	etag:%22aeb4-546ef8e2d1300-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/index-3.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/index-4.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:38	22824/22824	---M-Z	200	added ('OK')	text/html	etag:%225928-546ef8ec5a980-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/about-us.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/about-us.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:38	21587/21587	---M-Z	200	added ('OK')	text/html	etag:%225453-546ef8e88a080-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/tracking.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/tracking.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:38	26488/26488	---M-Z	200	added ('OK')	text/html	etag:%226778-546ef8e2d1300-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/pricing-plans.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/pricing-plans.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:38	20545/20545	---M-Z	200	added ('OK')	text/html	etag:%225041-546ef8db30100-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/contact-us.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/contact-us.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:39	25372/25372	---M-Z	200	added ('OK')	text/html	etag:%22631c-546ef8ee42e00-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/blog.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/blog.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:39	25366/25366	---M-Z	200	added ('OK')	text/html	etag:%226316-546ef8f02b280-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/blog-left.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/blog-left.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:39	32428/32428	---M-Z	200	added ('OK')	text/html	etag:%227eac-546ef8ea72500-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/single-blog.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/single-blog.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:39	24473/24473	---M-Z	200	added ('OK')	text/html	etag:%225f99-546ef8dd18580-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/get-quote.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/get-quote.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:40	21125/21125	---M-Z	200	added ('OK')	text/html	etag:%225285-546ef8dd18580-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/contact-us-2.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/contact-us-2.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:40	16953/16953	---M-Z	200	added ('OK')	text/html	etag:%224239-546ef8ee42e00-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/404.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/404.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:40	5547/5547	---M-Z	200	added ('OK')	text/html	etag:%2215ab-546ef8db30100-gzip%22	https://jthemes.net/themes/f-html/GO-Courier/coming-soon.html	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/coming-soon.html	(from https://jthemes.net/themes/f-html/GO-Courier/)
16:16:40	3501/3501	---M--	200	added ('OK')	image/png	etag:%22dad-5360b3f2ce400%22	https://jthemes.net/themes/f-html/GO-Courier/assets/img/icons/icon-1.png	C:/My%20Web%20Sites/GO-Courier/jthemes.net/themes/f-html/GO-Courier/assets/img/icons/icon-1.png	(from https://jthemes.net/themes/f-html/GO-Courier/)
