date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:13	47885/47885	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2006:56:22%20GMT	https://irtech.biz/tf/additrans/index.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/index.html	(from )
15:13:14	111/111	---MC-	200	added ('OK')	text/plain	date:Fri,%2003%20Sep%202021%2009:43:12%20GMT	https://irtech.biz/robots.txt		(from )
15:13:15	77757/77757	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2006:56:30%20GMT	https://irtech.biz/tf/additrans/assets/css/animate.css	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/css/animate.css	(from https://irtech.biz/tf/additrans/index.html)
15:13:15	7648/7648	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2006:56:32%20GMT	https://irtech.biz/tf/additrans/assets/css/magnific-popup.css	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/css/magnific-popup.css	(from https://irtech.biz/tf/additrans/index.html)
15:13:15	760210/760210	---M--	200	added ('OK')	image/x-icon	date:Mon,%2016%20Mar%202020%2006:56:20%20GMT	https://irtech.biz/tf/additrans/favicon.ico	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/favicon.ico	(from https://irtech.biz/tf/additrans/index.html)
15:13:15	4904/4904	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2006:56:32%20GMT	https://irtech.biz/tf/additrans/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/css/owl.carousel.min.css	(from https://irtech.biz/tf/additrans/index.html)
15:13:16	144877/144877	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2006:56:30%20GMT	https://irtech.biz/tf/additrans/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/css/bootstrap.min.css	(from https://irtech.biz/tf/additrans/index.html)
15:13:16	57083/57083	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2006:56:30%20GMT	https://irtech.biz/tf/additrans/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/css/font-awesome.min.css	(from https://irtech.biz/tf/additrans/index.html)
15:13:16	5403/5403	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2006:56:30%20GMT	https://irtech.biz/tf/additrans/assets/css/flaticon.css	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/css/flaticon.css	(from https://irtech.biz/tf/additrans/index.html)
15:13:16	165150/165150	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2022:09:30%20GMT	https://irtech.biz/tf/additrans/assets/css/style.css	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/css/style.css	(from https://irtech.biz/tf/additrans/index.html)
15:13:16	27508/27508	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2021:59:32%20GMT	https://irtech.biz/tf/additrans/assets/css/responsive.css	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/css/responsive.css	(from https://irtech.biz/tf/additrans/index.html)
15:13:17	2001/2001	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202020%2006:57:04%20GMT	https://irtech.biz/tf/additrans/assets/img/logo.png	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/img/logo.png	(from https://irtech.biz/tf/additrans/index.html)
15:13:17	43793/43793	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2018:17:24%20GMT	https://irtech.biz/tf/additrans/index-2.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/index-2.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:17	47830/47830	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2017:31:22%20GMT	https://irtech.biz/tf/additrans/index-3.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/index-3.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:17	44075/44075	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2006:56:22%20GMT	https://irtech.biz/tf/additrans/index-4.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/index-4.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:18	30560/30560	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2022:15:46%20GMT	https://irtech.biz/tf/additrans/about.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/about.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:18	28697/28697	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2022:15:54%20GMT	https://irtech.biz/tf/additrans/services.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/services.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:18	32137/32137	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2022:15:52%20GMT	https://irtech.biz/tf/additrans/services-details.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/services-details.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:18	21289/21289	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2022:15:50%20GMT	https://irtech.biz/tf/additrans/blog.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/blog.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:19	25425/25425	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2022:15:48%20GMT	https://irtech.biz/tf/additrans/blog-details.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/blog-details.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:19	17252/17252	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202020%2022:15:50%20GMT	https://irtech.biz/tf/additrans/contact.html	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/contact.html	(from https://irtech.biz/tf/additrans/index.html)
15:13:20	87498/87498	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202020%2006:59:26%20GMT	https://irtech.biz/tf/additrans/assets/img/we-provide/01.png	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/img/we-provide/01.png	(from https://irtech.biz/tf/additrans/index.html)
15:13:21	119003/119003	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202020%2006:59:26%20GMT	https://irtech.biz/tf/additrans/assets/img/we-provide/02.png	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/img/we-provide/02.png	(from https://irtech.biz/tf/additrans/index.html)
15:13:22	132925/132925	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202020%2006:59:26%20GMT	https://irtech.biz/tf/additrans/assets/img/we-provide/03.png	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/img/we-provide/03.png	(from https://irtech.biz/tf/additrans/index.html)
15:13:22	2915526/2915526	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202020%2006:58:44%20GMT	https://irtech.biz/tf/additrans/assets/img/header-slider/01.png	C:/My%20Web%20Sites/comparecv1/irtech.biz/tf/additrans/assets/img/header-slider/01.png	(from https://irtech.biz/tf/additrans/index.html)
